1. Universidad,2. Carrera,3. Semestre,4. ¿Cuántas veces comes al día?,5. ¿Cada cuánto tiempo comes comida rápida por semana?,6. ¿Cual es el tipo de desayuno que prefiere?(Parte liquida),7. Bebida Preferida,8. Snack preferidos,9. ¿Cual es su marca preferida de Galletas?,10. Marca de productos lácteos preferida,11. Consume Suplementos Alimenticios,12. Cual considera su Temperamento,13. ¿Te sientes cómodo con personas que sabes que tienen más conocimiento?,"14. Tienes intención de comprarte un traje o vestido nuevo y el encargado de ventas, te pregunta si vas a algún lugar o evento especial. ¿Cómo reaccionas?","15. No te dio tiempo a cenar y te mueres de hambre, pero estás en la casa de tu amigo. Su madre está cocinando y huele... tremendamente apetitoso. ¿Dices algo?","16. ¿Qué número es la décima parte de la cuarta parte de la quinta parte de la mitad de 12,000?","17. ¿Cuál es el número de 4 dígitos? El primer digito es una quinta parte del ultimo, y el segundo y tercero conforman un solo número, producto de la multiplicación del ultimo por 3.","18. ¿Qué relación hay entre Pilar y Valeria? Pilar fue a visitar a Valeria. Pilar es la única hija de la única hija de la suegra de Fernando, el marido de Valeria.",19. Un negociante compra café por 1200€ y lo vende por 1500€. Por cada saco de café gana un beneficio de 50€. ¿Cuántos sacos de café tenía?,"20. ¿Qué número completa la secuencia? 1, 2, 4, 7, 11, _, 22",21. ¿Quién finalizó último en la carrera? Ni A ni E salieron últimos. Pero B venció a C y C lo hizo con D. E derroto a F y D venció a E.
Universidad Privada Boliviana,FAC. ODONTOLOGIA,CUARTO,3 veces,Entre 3 o 4 días,Jugos Frutales,Agua,Mani Dulce,"Mabel (Waflers, saladitas, etc)",GLORIA,No,COLERICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,Le pregunto si tiene algo de comer pues estoy hambriento.,30,1155,Pilar es prima de Valeria,1,17,F
UNIVALLE,"Facultad de Ciencias Economicas( Ing. Comercial, Ing. Economica, Contaduria Publica, etc)",YA EGRESADO,4 veces,Entre 3 o 4 días,Lacteos,"Jugos frutales (Ades, Frutall, etc)",Nachos,"Mabel (Waflers, saladitas, etc)",DELICIA,No,COLERICO,"A veces, dependiendo de si siento que son accesibles o no.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1155,Pilar es hija de Valeria,30,16,F
Escuela Militar de Ingenieria,"Facultad de ciencias Quimicas(Ing. Petrolera, Quimica)",SEGUNDO,2 veces,Entre 3 o 4 días,Jugos Frutales,"Jugos frutales (Ades, Frutall, etc)",Nachos,Oreo,PIL,No,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Le pregunto si tiene algo de comer pues estoy hambriento.,45,2359,Pilar es hija de Valeria,6,15,B
Escuela Militar de Ingenieria,"Facultad de ciencias de la producción (Ing. Agridustrial, Industrial, etc)",SEGUNDO,2 veces,Entre 1  o 2 días,Cafe,Agua,Palitos de Tarwi,"Mabel (Waflers, saladitas, etc)",PIL,No,MELANCOLICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,45,2359,Pilar es hija de Valeria,No se puede saber,17,E
Escuela Militar de Ingenieria,Falcultad de Medio Ambiente (Ing. Ambiental.),SEGUNDO,3 veces,Entre 5 o 6 días,Lacteos,"Gaseosas(Coca Cola, Sprite, Fanta, etc)","Alafajores, Chocolate","Mabel (Waflers, saladitas, etc)",PIL,No,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",45,2359,Pilar es prima de Valeria,6,16,C
Universidad Catolica Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",CUARTO,3 veces,Entre 5 o 6 días,Cereales en Lacteos,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Mani Dulce,Oreo,NORDLAND,Si,COLERICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Automáticamente hago una rápida retirada sin comprar nada en la tienda,Le pregunto si tiene algo de comer pues estoy hambriento.,1250,1190,Pilar es hija de Valeria,1,19,F
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",PRIMER,3 veces,Entre 1  o 2 días,Cafe,"Jugos frutales (Ades, Frutall, etc)","Alafajores, Chocolate",Toddy,GLORIA,Si,COLERICO,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1155,Pilar es hija de Valeria,6,16,F
Escuela Militar de Ingenieria,"Ciencias de la Tierra(ing. Petrolera, etc)",SEGUNDO,2 veces,Todos los dias,Jugos Frutales,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,Ducales,PIL,Si,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,30,1155,Pilar es prima de Valeria,6,17,F
Escuela Militar de Ingenieria,"Facultad de ciencias de la producción (Ing. Agridustrial, Industrial, etc)",PRIMER,2 veces,Entre 1  o 2 días,Cafe,"Jugos frutales (Ades, Frutall, etc)",Papas fritas,"Mabel (Waflers, saladitas, etc)",GLORIA,Si,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,250,1155,Pilar es hija de Valeria,No se puede saber,16,E
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",PRIMER,3 veces,Entre 1  o 2 días,Cereales en Lacteos,"Jugos frutales (Ades, Frutall, etc)","Chupetes(Yogeta, Bombombun,etc.)","Mabel (Waflers, saladitas, etc)",PIL,Si,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,250,1155,Pilar es hija de Valeria,1,15,D
Escuela Militar de Ingenieria,"Facultad de ciencias de la producción (Ing. Agridustrial, Industrial, etc)",PRIMER,1000,Entre 1  o 2 días,Lacteos,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Palitos de Tarwi,Ninguna,PIL,No,SANGUINEO.,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Le pregunto si tiene algo de comer pues estoy hambriento.,45,1155,Pilar es prima de Valeria,30,19,C
Escuela Militar de Ingenieria,"Facultad de ciencias de la producción (Ing. Agridustrial, Industrial, etc)",QUINTO,2 veces,Entre 1  o 2 días,Cafe,"Jugos frutales (Ades, Frutall, etc)",Palitos de Tarwi,"Mabel (Waflers, saladitas, etc)",PIL,No,MELANCOLICO,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1155,Pilar es hija de Valeria,30,17,E
Escuela Militar de Ingenieria,Ingenieria agroindustrial ,PRIMER,3 veces,Todos los dias,Jugos Frutales,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,"Mabel (Waflers, saladitas, etc)",PIL,Si,COLERICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,30,1190,Pilar es sobrina de Valeria,30,17,B
Escuela Militar de Ingenieria,"Facultad de Ciencias Economicas( Ing. Comercial, Ing. Economica, Contaduria Publica, etc)",SEGUNDO,4 veces,Entre 3 o 4 días,Cafe,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Papas fritas,Oreo,PIL,Si,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Le pregunto si tiene algo de comer pues estoy hambriento.,1250,1256,Pilar es hija de Valeria,6,15,B
Escuela Militar de Ingenieria,"Facultad de ciencias Quimicas(Ing. Petrolera, Quimica)",PRIMER,3 veces,Entre 1  o 2 días,Yogurt,Agua,Masitas en General.,"Mabel (Waflers, saladitas, etc)",PIL,No,FLEMATICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1190,Pilar es sobrina de Valeria,6,16,B
Escuela Militar de Ingenieria,"FAC. CIENCIAS ECONÓMICAS (Ing. Comercial, Economía, Contaduría Publica, etc)",PRIMER,3 veces,Entre 1  o 2 días,Jugos Frutales,"Jugos frutales (Ades, Frutall, etc)",Papas fritas,Oreo,PIL,No,MELANCOLICO,"A veces, dependiendo de si siento que son accesibles o no.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1155,Pilar es sobrina de Valeria,30,17,B
Escuela Militar de Ingenieria,Ciencias Básicas ,SEGUNDO,4 veces,Entre 5 o 6 días,Ninguna,"Jugos frutales (Ades, Frutall, etc)",Papas fritas,Ricks,NORDLAND,No,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,45,1190,Pilar es prima de Valeria,1,15,C
Escuela Militar de Ingenieria,"FAC. ARQUITECTURA Y CIENCIAS DEL HABITAD(Arquitectura, Turismo)",PRIMER,3 veces,Entre 1  o 2 días,Jugos Frutales,"Jugos frutales (Ades, Frutall, etc)",Papas fritas,Oreo,PIL,Si,MELANCOLICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,45,1190,Pilar es prima de Valeria,30,17,D
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",PRIMER,3 veces,Entre 3 o 4 días,Cafe,Agua,Masitas en General.,"Mabel (Waflers, saladitas, etc)",PIL,Si,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,250,1190,Pilar es prima de Valeria,6,17,B
Escuela Militar de Ingenieria,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",PRIMER,4 veces,Entre 3 o 4 días,Lacteos,"Jugos frutales (Ades, Frutall, etc)",Palitos de Tarwi,"Mabel (Waflers, saladitas, etc)",PIL,No,FLEMATICO,"A veces, dependiendo de si siento que son accesibles o no.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,30,1155,Pilar es hija de Valeria,6,16,F
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",SEGUNDO,2 veces,Entre 1  o 2 días,Cereales en Lacteos,Agua,Papas fritas,"Mabel (Waflers, saladitas, etc)",PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",1250,1190,Pilar es hija de Valeria,No se puede saber,16,B
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",PRIMER,3 veces,Entre 1  o 2 días,Cafe,"Gaseosas(Coca Cola, Sprite, Fanta, etc)","Chupetes(Yogeta, Bombombun,etc.)",Oreo,PIL,No,COLERICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",250,1155,Pilar es hija de Valeria,6,16,F
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",SEGUNDO,3 veces,Entre 1  o 2 días,Cafe,"Gaseosas(Coca Cola, Sprite, Fanta, etc)","Chupetes(Yogeta, Bombombun,etc.)",Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,250,1190,Pilar es prima de Valeria,6,19,C
Instituto Militar (COL. MIL.  E.N.M. COL. MIL. AV. ),Ciencia  y arte militar  terrestre,YA EGRESADO,4 veces,Entre 3 o 4 días,Jugos Frutales,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Papas fritas,Ricks,PIL,Si,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Le pregunto si tiene algo de comer pues estoy hambriento.,250,1256,Pilar es prima de Valeria,No se puede saber,16,E
Escuela Militar de Ingenieria,"FAC. CIENCIAS ECONÓMICAS (Ing. Comercial, Economía, Contaduría Publica, etc)",SEGUNDO,3 veces,Entre 3 o 4 días,Jugos Frutales,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Masitas en General.,Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,250,1256,Pilar es sobrina de Valeria,No se puede saber,16,E
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",SEXTO,3 veces,Entre 5 o 6 días,Ninguna,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Nachos,"Mabel (Waflers, saladitas, etc)",NORDLAND,Si,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Le pregunto si tiene algo de comer pues estoy hambriento.,30,1190,Pilar es prima de Valeria,No se puede saber,19,D
Universidad Catolica Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",CUARTO,4 veces,Entre 3 o 4 días,Cereales en Lacteos,"Jugos frutales (Ades, Frutall, etc)",Papas fritas,Ricks,NORDLAND,No,MELANCOLICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,Le pregunto si tiene algo de comer pues estoy hambriento.,30,1190,Pilar es hija de Valeria,6,16,D
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",SEGUNDO,5,Entre 3 o 4 días,Jugos Frutales,"Gaseosas(Coca Cola, Sprite, Fanta, etc)","Chupetes(Yogeta, Bombombun,etc.)","Mabel (Waflers, saladitas, etc)",PIL,No,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,45,1155,Pilar es hija de Valeria,6,17,F
Universidad Mayor de San Simon,"Facultad de ciencias Quimicas(Ing. Petrolera, Quimica)",PRIMER,4 veces,Entre 3 o 4 días,Jugos Frutales,"Jugos frutales (Ades, Frutall, etc)",Mani Dulce,Ricks,DELICIA,No,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",Le cuento mis planes y le pido asesoramiento sobre el vestuario más adecuado para mí.,Le pregunto si tiene algo de comer pues estoy hambriento.,45,1155,Pilar es prima de Valeria,1,16,B
Escuela Militar de Ingenieria,"Facultad de Ciencias Economicas( Ing. Comercial, Ing. Economica, Contaduria Publica, etc)",QUINTO,3 veces,Entre 1  o 2 días,Cereales en Lacteos,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,Ricks,DELICIA,No,COLERICO,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,45,1155,Pilar es hija de Valeria,6,16,D
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",SEXTO,3 veces,Entre 5 o 6 días,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,"Mabel (Waflers, saladitas, etc)",GLORIA,No,FLEMATICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",250,1155,Pilar es hija de Valeria,30,16,F
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",SEXTO,3 veces,Entre 5 o 6 días,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,"Mabel (Waflers, saladitas, etc)",,No,FLEMATICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",250,1155,Pilar es hija de Valeria,30,16,F
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",SEXTO,3 veces,Entre 5 o 6 días,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,"Mabel (Waflers, saladitas, etc)",,No,FLEMATICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",250,1155,Pilar es hija de Valeria,30,16,F
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",SEXTO,3 veces,Entre 5 o 6 días,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,"Mabel (Waflers, saladitas, etc)",,No,FLEMATICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",250,1155,Pilar es hija de Valeria,30,16,F
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",SEXTO,3 veces,Entre 5 o 6 días,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,"Mabel (Waflers, saladitas, etc)",,No,FLEMATICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",250,1155,Pilar es hija de Valeria,30,16,F
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",SEXTO,3 veces,Entre 5 o 6 días,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,"Mabel (Waflers, saladitas, etc)",,No,FLEMATICO,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",250,1155,Pilar es hija de Valeria,30,16,F
Universidad Mayor de San Simon,"Facultad de ciencias Quimicas(Ing. Petrolera, Quimica)",SEPTIMO,2 veces,Entre 3 o 4 días,Cafe,Agua,Nachos,Toddy,DELICIA,No,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",45,1256,Pilar es prima de Valeria,30,19,B
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",QUINTO,3 veces,,Jugos Frutales,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Mani salado,Oreo,PIL,No,COLERICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",1250,1155,Pilar es hija de Valeria,No se puede saber,19,F
UNIVALLE,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",SEPTIMO,2 veces,,Jugos Frutales,Agua,Nachos,Oreo,PIL,No,SANGUINEO.,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",45,1256,Pilar es prima de Valeria,30,19,B
Universidad Mayor de San Simon,"FAC. CIENCIAS JURIDICAS Y POLITICAS (Juridica, Politica)",SEPTIMO,2 veces,,Jugos Frutales,Agua,Nachos,Oreo,PIL,No,COLERICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",45,1155,Pilar es prima de Valeria,30,16,E
Universidad Mayor de San Simon,"FAC. CIENCIAS JURIDICAS Y POLITICAS (Juridica, Politica)",TERCERO,2 veces,,Cereales en Lacteos,"Gaseosas(Coca Cola, Sprite, Fanta, etc)","Alafajores, Chocolate",Oreo,PIL,No,COLERICO,"Sí, siempre; quiero aprender de sus experiencias y de todo lo que saben.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",45,1155,Pilar es prima de Valeria,30,16,E
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",QUINTO,2 veces,,Cereales en Lacteos,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Masitas en General.,Oreo,PIL,Si,COLERICO,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,45,1190,Pilar es hija de Valeria,No se puede saber,19,E
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",QUINTO,2 veces,,Cereales en Lacteos,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Masitas en General.,Oreo,PIL,Si,COLERICO,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,45,1190,Pilar es hija de Valeria,No se puede saber,19,E
Universidad Simon I. Patiño,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",NOVENO,2 veces,Entre 3 o 4 días,Cereales en Lacteos,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Nachos,Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",1250,1155,Pilar es hija de Valeria,No se puede saber,19,F
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",QUINTO,3 veces,,Cereales en Lacteos,Agua,Masitas en General.,"Mabel (Waflers, saladitas, etc)",PIL,Si,COLERICO,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",1250,1155,Pilar es sobrina de Valeria,30,19,E
Escuela Militar de Ingenieria,"FAC. DE CIENCIAS DE LA TIERRA (Ing. Civil, Geográfica, etc.)",SEXTO,2 veces,,Cereales en Lacteos,"Jugos frutales (Ades, Frutall, etc)","Alafajores, Chocolate",Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",1250,1155,Pilar es prima de Valeria,No se puede saber,19,B
Universidad Mayor de San Simon,"FAC. CIENCIAS JURIDICAS Y POLITICAS (Juridica, Politica)",QUINTO,2 veces,,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",1250,1155,Pilar es prima de Valeria,No se puede saber,16,F
Universidad Catolica Boliviana,"Facultad de ciencias de la producción (Ing. Agridustrial, Industrial, etc)",QUINTO,2 veces,,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,Le pregunto si tiene algo de comer pues estoy hambriento.,30,1190,Pilar es hija de Valeria,No se puede saber,19,F
Universidad Catolica Boliviana,Falcultad de Medio Ambiente (Ing. Ambiental.),NOVENO,2 veces,,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1190,Pilar es hija de Valeria,No se puede saber,16,F
Universidad Catolica Boliviana,"Facultad de ciencias Quimicas(Ing. Petrolera, Quimica)",NOVENO,2 veces,,Yogurt,"Jugos frutales (Ades, Frutall, etc)",Masitas en General.,Oreo,PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1190,Pilar es hija de Valeria,No se puede saber,16,F
Universidad Catolica Boliviana,"Facultad de ciencias Quimicas(Ing. Petrolera, Quimica)",NOVENO,2 veces,,Yogurt,"Gaseosas(Coca Cola, Sprite, Fanta, etc)",Papas fritas,"Mabel (Waflers, saladitas, etc)",PIL,No,SANGUINEO.,"A veces, dependiendo de si siento que son accesibles o no.",No me involucro en una conversación personal con personas que no conozco.,Espero a que me inviten a cenar y ya entonces acepto el ofrecimiento.,30,1190,Pilar es sobrina de Valeria,No se puede saber,19,F
Universidad Privada Boliviana,"FAC. TECNOLOGIA(Informatica, Sistemas, Electronica, Telecomunicaciones, etc)",QUINTO,3 veces,,Cereales en Lacteos,Agua,Masitas en General.,"Mabel (Waflers, saladitas, etc)",PIL,Si,COLERICO,En raras ocasiones; normalmente me siento incomodo/a con personas que creen ser mas que uno.,,"Si no me dicen nada, yo tampoco. Me voy a casa a cenar o pico algo por el camino",30,1190,Pilar es sobrina de Valeria,30,19,E
